Q20	Q30	HFB_cubic	A	Z
0.0	0.0	14.585399999807123	240.0	90.0
0.0	3.0	13.549666445993353	240.0	90.0
0.0	6.0	13.779699999955483	240.0	90.0
0.0	9.0	15.842028767860029	240.0	90.0
0.0	12.0	18.144700000120793	240.0	90.0
0.0	15.0	19.455309004173614	240.0	90.0
0.0	18.0	20.085700000054203	240.0	90.0
0.0	21.0	20.942038088687696	240.0	90.0
0.0	24.0	22.13119999994524	240.0	90.0
0.0	27.0	23.616165967134293	240.0	90.0
0.0	30.0	25.20110000000568	240.0	90.0
0.0	33.0	26.478733793715946	240.0	90.0
0.0	36.0	27.567700000072364	240.0	90.0
0.0	39.0	28.81321971694706	240.0	90.0
0.0	42.0	30.161800000059884	240.0	90.0
0.0	45.0	31.091612473945133	240.0	90.0
0.0	48.0	32.353599999973085	240.0	90.0
0.0	51.0	34.84403306694003	240.0	90.0
0.0	54.0	37.40110000013374	240.0	90.0
0.0	57.0	39.65359335660469	240.0	90.0
0.0	60.0	42.17860000015935	240.0	90.0
2.0	0.0	12.178688035986852	240.0	90.0
2.0	3.0	11.924563084030524	240.0	90.0
2.0	6.0	13.1703694666503	240.0	90.0
2.0	9.0	16.054114968166687	240.0	90.0
2.0	12.0	19.05435547948582	240.0	90.0
2.0	15.0	20.580465175851714	240.0	90.0
2.0	18.0	21.222599366796203	240.0	90.0
2.0	21.0	22.083229560405016	240.0	90.0
2.0	24.0	23.129786501231138	240.0	90.0
2.0	27.0	24.202849253895693	240.0	90.0
2.0	30.0	25.429320454772096	240.0	90.0
2.0	33.0	26.819973894802388	240.0	90.0
2.0	36.0	27.71626242453931	240.0	90.0
2.0	39.0	27.994137425266672	240.0	90.0
2.0	42.0	28.560755658778362	240.0	90.0
2.0	45.0	30.609866036800668	240.0	90.0
2.0	48.0	33.06327904597856	240.0	90.0
2.0	51.0	34.1609887444647	240.0	90.0
2.0	54.0	35.04277725506108	240.0	90.0
2.0	57.0	36.6067279453855	240.0	90.0
2.0	60.0	38.78348542028107	240.0	90.0
4.0	0.0	9.650300000037532	240.0	90.0
4.0	3.0	10.043911157990806	240.0	90.0
4.0	6.0	12.116499999945518	240.0	90.0
4.0	9.0	15.659163841744885	240.0	90.0
4.0	12.0	19.337599999969825	240.0	90.0
4.0	15.0	21.282487259886693	240.0	90.0
4.0	18.0	22.229299999948125	240.0	90.0
