Q20	Q30	HFB_cubic	A	Z
0.0	0.0	20.920699999958742	242.0	96.0
0.0	3.0	17.68917547998717	242.0	96.0
0.0	6.0	16.629699999873992	242.0	96.0
0.0	9.0	19.298964956658892	242.0	96.0
0.0	12.0	22.92449999973178	242.0	96.0
0.0	15.0	24.735913056123536	242.0	96.0
0.0	18.0	25.719699999899603	242.0	96.0
0.0	21.0	27.310731276869774	242.0	96.0
0.0	24.0	28.570699999923818	242.0	96.0
0.0	27.0	28.713254127826076	242.0	96.0
0.0	30.0	28.350500000000466	242.0	96.0
0.0	33.0	28.35349725309061	242.0	96.0
0.0	36.0	28.730699999898206	242.0	96.0
0.0	39.0	29.196242995152716	242.0	96.0
0.0	42.0	29.97490000014659	242.0	96.0
0.0	45.0	31.147235367097892	242.0	96.0
0.0	48.0	32.731599999940954	242.0	96.0
0.0	51.0	34.762239521835	242.0	96.0
0.0	54.0	37.18640000006417	242.0	96.0
0.0	57.0	39.78891427232884	242.0	96.0
0.0	60.0	42.68040000007022	242.0	96.0
2.0	0.0	18.218899217026774	242.0	96.0
2.0	3.0	15.930543296562973	242.0	96.0
2.0	6.0	15.760556263499893	242.0	96.0
2.0	9.0	18.46910908067366	242.0	96.0
2.0	12.0	22.196417162194848	242.0	96.0
2.0	15.0	24.776339801144786	242.0	96.0
2.0	18.0	26.559906004578806	242.0	96.0
2.0	21.0	28.266757105768193	242.0	96.0
2.0	24.0	29.341208790428936	242.0	96.0
2.0	27.0	29.344501384417526	242.0	96.0
2.0	30.0	28.760567440709565	242.0	96.0
2.0	33.0	28.143856619193684	242.0	96.0
2.0	36.0	27.903188333206344	242.0	96.0
2.0	39.0	28.199219645059202	242.0	96.0
2.0	42.0	28.717329852748662	242.0	96.0
2.0	45.0	29.560695550520904	242.0	96.0
2.0	48.0	30.6890437847469	242.0	96.0
2.0	51.0	32.02820002113003	242.0	96.0
2.0	54.0	33.793132791121025	242.0	96.0
2.0	57.0	36.165016333339736	242.0	96.0
2.0	60.0	38.93491286691278	242.0	96.0
4.0	0.0	15.489000000117812	242.0	96.0
4.0	3.0	14.153378122136928	242.0	96.0
4.0	6.0	14.77740000007907	242.0	96.0
4.0	9.0	17.30983873765217	242.0	96.0
4.0	12.0	20.97219999996014	242.0	96.0
4.0	15.0	24.41631247487385	242.0	96.0
4.0	18.0	27.207699999999022	242.0	96.0
4.0	21.0	29.171814701636322	242.0	96.0
4.0	24.0	30.161299999977928	242.0	96.0
4.0	27.0	30.048890129866777	242.0	96.0
4.0	30.0	29.34689999994589	242.0	96.0
4.0	33.0	28.51268430269556	242.0	96.0
4.0	36.0	28.01000000006752	242.0	96.0
4.0	39.0	28.173942198656732	242.0	96.0
4.0	42.0	28.34419999999227	242.0	96.0
4.0	45.0	28.733698959520552	242.0	96.0
4.0	48.0	29.341899999970337	242.0	96.0
4.0	51.0	30.110054074175423	242.0	96.0
4.0	54.0	31.314999999827705	242.0	96.0
4.0	57.0	33.39336101154913	242.0	96.0
4.0	60.0	35.90230000001611	242.0	96.0
6.0	0.0	12.865639876923524	242.0	96.0
6.0	3.0	11.938987042638473	242.0	96.0
6.0	6.0	12.889546486374456	242.0	96.0
6.0	9.0	15.550208349246532	242.0	96.0
6.0	12.0	19.31231637633755	242.0	96.0
6.0	15.0	23.466869285621215	242.0	96.0
6.0	18.0	27.03584615958971	242.0	96.0
6.0	21.0	29.51334023819072	242.0	96.0
6.0	24.0	30.84915799892042	242.0	96.0
6.0	27.0	30.691699966497254	242.0	96.0
6.0	30.0	29.79544271490886	242.0	96.0
6.0	33.0	29.471069362247363	242.0	96.0
6.0	36.0	29.396857411717065	242.0	96.0
6.0	39.0	29.11513034379459	242.0	96.0
6.0	42.0	28.913641905179247	242.0	96.0
6.0	45.0	28.685126815456897	242.0	96.0
6.0	48.0	28.69219543246436	242.0	96.0
6.0	51.0	29.30118363344809	242.0	96.0
6.0	54.0	30.32992241566535	242.0	96.0
6.0	57.0	31.848820717190392	242.0	96.0
6.0	60.0	33.90901020815363	242.0	96.0
8.0	0.0	9.785199999983888	242.0	96.0
8.0	3.0	9.01157102061552	242.0	96.0
8.0	6.0	10.25709999987157	242.0	96.0
8.0	9.0	13.40097617151332	242.0	96.0
8.0	12.0	17.501399999920977	242.0	96.0
8.0	15.0	22.001729239942506	242.0	96.0
8.0	18.0	25.886499999993248	242.0	96.0
8.0	21.0	28.841081378079252	242.0	96.0
8.0	24.0	30.906599999929313	242.0	96.0
8.0	27.0	31.393483424850274	242.0	96.0
8.0	30.0	30.82029999990482	242.0	96.0
8.0	33.0	30.80844312525005	242.0	96.0
8.0	36.0	30.77010000005248	242.0	96.0
