Q20	Q30	HFB_cubic	A	Z
0.0	0.0	12.664899999275804	250.0	92.0
0.0	3.0	9.95710000069812	250.0	92.0
0.0	6.0	13.7835999999661	250.0	92.0
0.0	9.0	16.55079999915324	250.0	92.0
0.0	12.0	17.99360000086017	250.0	92.0
0.0	15.0	18.900799999479204	250.0	92.0
0.0	18.0	19.703199999872595	250.0	92.0
0.0	21.0	20.4499000008218	250.0	92.0
0.0	24.0	21.267499999376014	250.0	92.0
0.0	27.0	22.29020000156015	250.0	92.0
0.0	30.0	23.618099997751415	250.0	92.0
0.0	33.0	24.875799998408183	250.0	92.0
0.0	36.0	25.90040000062436	250.0	92.0
0.0	39.0	26.984600000549108	250.0	92.0
0.0	42.0	28.31999999890104	250.0	92.0
0.0	45.0	30.28679999918677	250.0	92.0
0.0	48.0	32.78309999941848	250.0	92.0
0.0	51.0	32.90210000053048	250.0	92.0
0.0	54.0	34.34449999872595	250.0	92.0
0.0	57.0	36.42330000014044	250.0	92.0
0.0	60.0	38.96279999893159	250.0	92.0
2.0	0.0	11.014300000155345	250.0	92.0
2.0	3.0	9.8613000002224	250.0	92.0
2.0	6.0	13.388600001111627	250.0	92.0
2.0	9.0	16.911999999545515	250.0	92.0
2.0	12.0	18.762100000400096	250.0	92.0
2.0	15.0	20.031600000336766	250.0	92.0
2.0	18.0	21.01400000229478	250.0	92.0
2.0	21.0	21.869799999287352	250.0	92.0
2.0	24.0	22.601100002182648	250.0	92.0
2.0	27.0	23.323900000192225	250.0	92.0
2.0	30.0	24.155899999430403	250.0	92.0
2.0	33.0	25.224800000200048	250.0	92.0
2.0	36.0	26.633800000650808	250.0	92.0
2.0	39.0	27.305400000186637	250.0	92.0
2.0	42.0	28.485100001329556	250.0	92.0
2.0	45.0	29.307999999960884	250.0	92.0
2.0	48.0	30.792100000195205	250.0	92.0
2.0	51.0	32.91760000027716	250.0	92.0
2.0	54.0	35.50619999971241	250.0	92.0
2.0	57.0	34.476199998985976	250.0	92.0
2.0	60.0	36.118300000205636	250.0	92.0
4.0	0.0	8.39409999968484	250.0	92.0
4.0	3.0	9.38370000012219	250.0	92.0
4.0	6.0	12.39310000045225	250.0	92.0
4.0	9.0	15.537200000602752	250.0	92.0
4.0	12.0	18.962300000712276	250.0	92.0
4.0	15.0	20.754100000020117	250.0	92.0
4.0	18.0	21.819099998800084	250.0	92.0
4.0	21.0	22.990100000286475	250.0	92.0
4.0	24.0	23.951699999859557	250.0	92.0
4.0	27.0	24.744800000218675	250.0	92.0
4.0	30.0	25.516500000143424	250.0	92.0
4.0	33.0	26.17499999841675	250.0	92.0
4.0	36.0	26.987100000260398	250.0	92.0
4.0	39.0	28.03179999953136	250.0	92.0
