Q20	Q30	HFB_cubic	A	Z
0.0	0.0	9.528699999966193	258.0	94.0
0.0	3.0	10.330084952147445	258.0	94.0
0.0	6.0	11.698899999988498	258.0	94.0
0.0	9.0	13.592296496848576	258.0	94.0
0.0	12.0	15.399799999955576	258.0	94.0
0.0	15.0	16.71545462938957	258.0	94.0
0.0	18.0	17.609199999948032	258.0	94.0
0.0	21.0	18.453606388735352	258.0	94.0
0.0	24.0	19.38430000009248	258.0	94.0
0.0	27.0	20.618560339236865	258.0	94.0
0.0	30.0	22.053100000033737	258.0	94.0
0.0	33.0	23.579202417837223	258.0	94.0
0.0	36.0	24.975000000093132	258.0	94.0
0.0	39.0	25.908488016590127	258.0	94.0
0.0	42.0	27.117500000007567	258.0	94.0
0.0	45.0	29.160617435147287	258.0	94.0
0.0	48.0	31.041999999972177	258.0	94.0
0.0	51.0	31.782239715452306	258.0	94.0
0.0	54.0	32.30239999985497	258.0	94.0
0.0	57.0	33.351929557728	258.0	94.0
0.0	60.0	34.70169999988866	258.0	94.0
2.0	0.0	7.485543376766145	258.0	94.0
2.0	3.0	8.850581613427494	258.0	94.0
2.0	6.0	10.965818343363935	258.0	94.0
2.0	9.0	13.50799711086438	258.0	94.0
2.0	12.0	15.873439675633563	258.0	94.0
2.0	15.0	17.594139290216845	258.0	94.0
2.0	18.0	18.750864129076945	258.0	94.0
2.0	21.0	19.69256955110177	258.0	94.0
2.0	24.0	20.614532704261364	258.0	94.0
2.0	27.0	21.507011583147687	258.0	94.0
2.0	30.0	22.496545616304502	258.0	94.0
2.0	33.0	23.666978774475865	258.0	94.0
2.0	36.0	24.790492052357877	258.0	94.0
2.0	39.0	25.91789058766153	258.0	94.0
2.0	42.0	27.286692811743706	258.0	94.0
2.0	45.0	28.863359564449638	258.0	94.0
2.0	48.0	30.202222234249348	258.0	94.0
2.0	51.0	31.284642671758775	258.0	94.0
2.0	54.0	32.43245925325027	258.0	94.0
2.0	57.0	33.943361719546374	258.0	94.0
2.0	60.0	35.70550532772904	258.0	94.0
4.0	0.0	5.593599999992875	258.0	94.0
4.0	3.0	7.359038825961761	258.0	94.0
4.0	6.0	10.046100000065053	258.0	94.0
4.0	9.0	13.177511124697048	258.0	94.0
4.0	12.0	16.099499999952968	258.0	94.0
4.0	15.0	18.193766945551033	258.0	94.0
4.0	18.0	19.603499999910127	258.0	94.0
4.0	21.0	20.691710530256387	258.0	94.0
4.0	24.0	21.707900000023074	258.0	94.0
4.0	27.0	22.440877370288945	258.0	94.0
4.0	30.0	23.153899999990244	258.0	94.0
4.0	33.0	24.053216147134663	258.0	94.0
4.0	36.0	24.91259999992326	258.0	94.0
4.0	39.0	26.141650332690915	258.0	94.0
4.0	42.0	27.586899999863817	258.0	94.0
4.0	45.0	28.811623988702195	258.0	94.0
4.0	48.0	29.608399999968242	258.0	94.0
4.0	51.0	30.578683359228307	258.0	94.0
4.0	54.0	31.912100000001374	258.0	94.0
4.0	57.0	33.921869525074726	258.0	94.0
4.0	60.0	36.274099999835016	258.0	94.0
6.0	0.0	4.2401285127562005	258.0	94.0
6.0	3.0	5.886993116160738	258.0	94.0
6.0	6.0	8.721926108701155	258.0	94.0
6.0	9.0	12.33701400415157	258.0	94.0
6.0	12.0	15.805867312505143	258.0	94.0
6.0	15.0	18.192928374861367	258.0	94.0
6.0	18.0	19.796949071227573	258.0	94.0
6.0	21.0	21.12684141501086	258.0	94.0
6.0	24.0	22.278717802051688	258.0	94.0
6.0	27.0	23.254561984955217	258.0	94.0
6.0	30.0	24.100858605612302	258.0	94.0
6.0	33.0	24.898779339666362	258.0	94.0
6.0	36.0	25.72559443616774	258.0	94.0
6.0	39.0	26.662127350253286	258.0	94.0
6.0	42.0	27.756916509271832	258.0	94.0
6.0	45.0	29.117531173862517	258.0	94.0
6.0	48.0	29.977874344491283	258.0	94.0
6.0	51.0	29.847822388095665	258.0	94.0
6.0	54.0	30.347994685260346	258.0	94.0
6.0	57.0	32.90951836043678	258.0	94.0
6.0	60.0	35.90716345967667	258.0	94.0
8.0	0.0	2.8655000000289874	258.0	94.0
8.0	3.0	4.2137192405352835	258.0	94.0
8.0	6.0	6.967699999993783	258.0	94.0
8.0	9.0	10.837745258511859	258.0	94.0
8.0	12.0	14.721199999999953	258.0	94.0
8.0	15.0	17.40209152927855	258.0	94.0
8.0	18.0	19.321799999990617	258.0	94.0
8.0	21.0	21.02444161483436	258.0	94.0
8.0	24.0	22.441599999991013	258.0	94.0
8.0	27.0	23.778389194980264	258.0	94.0
8.0	30.0	24.890100000047823	258.0	94.0
8.0	33.0	25.767210428457474	258.0	94.0
8.0	36.0	26.7380999999732	258.0	94.0
8.0	39.0	27.497372173980693	258.0	94.0
8.0	42.0	28.169899999978952	258.0	94.0
8.0	45.0	29.361296298826346	258.0	94.0
8.0	48.0	30.100000000034925	258.0	94.0
8.0	51.0	29.066481767076766	258.0	94.0
8.0	54.0	28.766699999949196	258.0	94.0
8.0	57.0	31.240880090961582	258.0	94.0
8.0	60.0	34.25169999997888	258.0	94.0
10.0	0.0	1.0957618756365264	258.0	94.0
10.0	3.0	2.417266242497135	258.0	94.0
10.0	6.0	5.033111440017819	258.0	94.0
10.0	9.0	8.822858852829086	258.0	94.0
10.0	12.0	12.730339733068831	258.0	94.0
10.0	15.0	15.791210256284103	258.0	94.0
10.0	18.0	18.268533270442276	258.0	94.0
10.0	21.0	20.426948328415165	258.0	94.0
10.0	24.0	22.311315338680288	258.0	94.0
10.0	27.0	23.828405603970168	258.0	94.0
10.0	30.0	25.037244975130307	258.0	94.0
10.0	33.0	26.13089397001022	258.0	94.0
10.0	36.0	27.323669083765708	258.0	94.0
10.0	39.0	28.470162421290297	258.0	94.0
10.0	42.0	29.169518402777612	258.0	94.0
10.0	45.0	29.16686086349364	258.0	94.0
10.0	48.0	28.72248648897221	258.0	94.0
10.0	51.0	28.241089259448927	258.0	94.0
10.0	54.0	28.45462159154704	258.0	94.0
10.0	57.0	29.624680194610846	258.0	94.0
10.0	60.0	31.305637857542024	258.0	94.0
12.0	0.0	-2.9103830456733704e-11	258.0	94.0
12.0	3.0	1.2691795678983908	258.0	94.0
12.0	6.0	3.5457000001188135	258.0	94.0
12.0	9.0	6.8318469755759	258.0	94.0
12.0	12.0	10.322000000000116	258.0	94.0
12.0	15.0	13.527862369810464	258.0	94.0
12.0	18.0	16.47330000002694	258.0	94.0
12.0	21.0	19.071542561563547	258.0	94.0
12.0	24.0	21.4785000000702	258.0	94.0
12.0	27.0	23.212856533937156	258.0	94.0
12.0	30.0	24.562500000058208	258.0	94.0
12.0	33.0	25.912564486658084	258.0	94.0
12.0	36.0	27.38750000001164	258.0	94.0
12.0	39.0	29.09684943013417	258.0	94.0
12.0	42.0	30.000399999989895	258.0	94.0
12.0	45.0	28.80212322868465	258.0	94.0
12.0	48.0	27.220700000063516	258.0	94.0
12.0	51.0	27.60939849933493	258.0	94.0
12.0	54.0	28.644399999902816	258.0	94.0
12.0	57.0	28.64471294004761	258.0	94.0
12.0	60.0	28.96259999999893	258.0	94.0
14.0	0.0	0.5028797528211726	258.0	94.0
14.0	3.0	1.3253313016757602	258.0	94.0
14.0	6.0	3.0696815187111497	258.0	94.0
14.0	9.0	5.468801912225899	258.0	94.0
14.0	12.0	8.130343121578335	258.0	94.0
14.0	15.0	11.073969174132799	258.0	94.0
14.0	18.0	13.963571679021697	258.0	94.0
14.0	21.0	16.824168223509332	258.0	94.0
14.0	24.0	19.622079855267657	258.0	94.0
14.0	27.0	21.831997328277794	258.0	94.0
14.0	30.0	23.610351984127192	258.0	94.0
14.0	33.0	25.22067247176892	258.0	94.0
14.0	36.0	26.962627136774245	258.0	94.0
14.0	39.0	28.960319405858172	258.0	94.0
