Q20	Q30	HFB_cubic	A	Z
0.0	0.0	15.39279999997234	260.0	98.0
0.0	3.0	14.615266468608752	260.0	98.0
0.0	6.0	15.295300000114366	260.0	98.0
0.0	9.0	18.074900170322508	260.0	98.0
0.0	12.0	21.063300000037998	260.0	98.0
0.0	15.0	22.448634554690216	260.0	98.0
0.0	18.0	22.9584999998915	260.0	98.0
0.0	21.0	23.716925033251755	260.0	98.0
0.0	24.0	24.591199999966193	260.0	98.0
0.0	27.0	25.5532111293287	260.0	98.0
0.0	30.0	26.808499999926426	260.0	98.0
0.0	33.0	28.440400632098317	260.0	98.0
0.0	36.0	29.78610000014305	260.0	98.0
0.0	39.0	30.5067759793601	260.0	98.0
0.0	42.0	31.349399999831803	260.0	98.0
0.0	45.0	32.807927825604565	260.0	98.0
0.0	48.0	34.503999999782536	260.0	98.0
0.0	51.0	35.25735566834919	260.0	98.0
0.0	54.0	35.855899999965914	260.0	98.0
0.0	57.0	37.05589382897597	260.0	98.0
0.0	60.0	38.424799999862444	260.0	98.0
2.0	0.0	13.041255608724896	260.0	98.0
2.0	3.0	13.044763715646695	260.0	98.0
2.0	6.0	14.547006787615828	260.0	98.0
2.0	9.0	17.650186819548253	260.0	98.0
2.0	12.0	20.923447476758156	260.0	98.0
2.0	15.0	23.018285855010618	260.0	98.0
2.0	18.0	24.183754191268235	260.0	98.0
2.0	21.0	25.18114282609895	260.0	98.0
2.0	24.0	26.098848001973238	260.0	98.0
2.0	27.0	26.85187147988472	260.0	98.0
2.0	30.0	27.825419190106913	260.0	98.0
2.0	33.0	29.163319313840475	260.0	98.0
2.0	36.0	29.894797400163952	260.0	98.0
2.0	39.0	29.483435803675093	260.0	98.0
2.0	42.0	29.051157164678443	260.0	98.0
2.0	45.0	30.05959285784047	260.0	98.0
2.0	48.0	31.645139743224718	260.0	98.0
2.0	51.0	33.07285752473399	260.0	98.0
2.0	54.0	34.50172508507967	260.0	98.0
2.0	57.0	36.19336016383022	260.0	98.0
2.0	60.0	37.96241341158748	260.0	98.0
4.0	0.0	10.948999999905936	260.0	98.0
4.0	3.0	11.665583260706626	260.0	98.0
4.0	6.0	13.853300000017043	260.0	98.0
4.0	9.0	17.183117252774537	260.0	98.0
4.0	12.0	20.66590000008	260.0	98.0
4.0	15.0	23.41738026891835	260.0	98.0
4.0	18.0	25.23549999995157	260.0	98.0
4.0	21.0	26.519290065567475	260.0	98.0
4.0	24.0	27.589099999924656	260.0	98.0
4.0	27.0	28.317855596833397	260.0	98.0
4.0	30.0	29.213900000147987	260.0	98.0
4.0	33.0	30.442089324933477	260.0	98.0
4.0	36.0	30.77580000006128	260.0	98.0
4.0	39.0	29.54471562796971	260.0	98.0
4.0	42.0	28.02900000003865	260.0	98.0
4.0	45.0	28.435245681903325	260.0	98.0
4.0	48.0	29.542800000112038	260.0	98.0
4.0	51.0	31.184980357182212	260.0	98.0
4.0	54.0	32.99500000005355	260.0	98.0
4.0	57.0	34.903686965291854	260.0	98.0
4.0	60.0	36.97979999973904	260.0	98.0
6.0	0.0	9.40476561448304	260.0	98.0
6.0	3.0	10.26695001864573	260.0	98.0
6.0	6.0	12.717051655286923	260.0	98.0
6.0	9.0	16.458371856657322	260.0	98.0
6.0	12.0	20.370932140096556	260.0	98.0
6.0	15.0	23.433611416548956	260.0	98.0
6.0	18.0	25.579302441503387	260.0	98.0
6.0	21.0	27.205257508554496	260.0	98.0
6.0	24.0	28.539833969785832	260.0	98.0
6.0	27.0	29.5525593754719	260.0	98.0
6.0	30.0	30.724827258789446	260.0	98.0
6.0	33.0	32.01012524601538	260.0	98.0
6.0	36.0	32.25567946850788	260.0	98.0
6.0	39.0	30.80399033112917	260.0	98.0
6.0	42.0	29.107785490399692	260.0	98.0
6.0	45.0	28.57694087678101	260.0	98.0
6.0	48.0	29.09451368759619	260.0	98.0
6.0	51.0	30.02662110363599	260.0	98.0
6.0	54.0	31.196096512838267	260.0	98.0
6.0	57.0	33.011492363060825	260.0	98.0
6.0	60.0	34.97975524759386	260.0	98.0
8.0	0.0	7.530099999974482	260.0	98.0
8.0	3.0	8.379960337886587	260.0	98.0
8.0	6.0	11.013700000185054	260.0	98.0
8.0	9.0	15.222397355246358	260.0	98.0
8.0	12.0	19.601400000043213	260.0	98.0
8.0	15.0	22.79087866441114	260.0	98.0
8.0	18.0	25.090599999937695	260.0	98.0
8.0	21.0	27.043546637287363	260.0	98.0
8.0	24.0	28.726800000004005	260.0	98.0
8.0	27.0	30.1577172561083	260.0	98.0
8.0	30.0	31.75409999996191	260.0	98.0
8.0	33.0	33.30020558688557	260.0	98.0
8.0	36.0	33.72759999992559	260.0	98.0
8.0	39.0	32.237135905597825	260.0	98.0
8.0	42.0	30.566800000087824	260.0	98.0
8.0	45.0	29.513954320107587	260.0	98.0
8.0	48.0	29.713999999978114	260.0	98.0
8.0	51.0	29.86576410039561	260.0	98.0
8.0	54.0	30.122300000104588	260.0	98.0
8.0	57.0	31.41901035059709	260.0	98.0
8.0	60.0	32.92590000014752	260.0	98.0
10.0	0.0	4.687341312004719	260.0	98.0
10.0	3.0	5.902331397519447	260.0	98.0
10.0	6.0	8.872963261266705	260.0	98.0
10.0	9.0	13.353225329890847	260.0	98.0
10.0	12.0	17.968856509018224	260.0	98.0
10.0	15.0	21.30041989259189	260.0	98.0
10.0	18.0	23.827999026922043	260.0	98.0
10.0	21.0	26.13306173402816	260.0	98.0
10.0	24.0	28.138776475563645	260.0	98.0
10.0	27.0	29.971520201303065	260.0	98.0
10.0	30.0	31.8585731468047	260.0	98.0
10.0	33.0	33.79032547073439	260.0	98.0
10.0	36.0	34.55971844686428	260.0	98.0
10.0	39.0	32.99039068579441	260.0	98.0
10.0	42.0	30.84645176108461	260.0	98.0
10.0	45.0	30.230625632219017	260.0	98.0
10.0	48.0	30.546032263489906	260.0	98.0
10.0	51.0	30.561476325558033	260.0	98.0
10.0	54.0	30.638961218472105	260.0	98.0
10.0	57.0	31.00908723694738	260.0	98.0
10.0	60.0	31.82871911226539	260.0	98.0
12.0	0.0	2.1246000002138317	260.0	98.0
12.0	3.0	3.606179580790922	260.0	98.0
12.0	6.0	6.693800000008196	260.0	98.0
12.0	9.0	11.012593037739862	260.0	98.0
12.0	12.0	15.51420000003418	260.0	98.0
12.0	15.0	19.012577628018335	260.0	98.0
12.0	18.0	21.955199999851175	260.0	98.0
12.0	21.0	24.727385450853035	260.0	98.0
12.0	24.0	27.097100000013597	260.0	98.0
12.0	27.0	29.197999951196834	260.0	98.0
12.0	30.0	31.164300000062212	260.0	98.0
12.0	33.0	33.33680267515592	260.0	98.0
12.0	36.0	34.599300000001676	260.0	98.0
12.0	39.0	33.57235623570159	260.0	98.0
12.0	42.0	31.503499999991618	260.0	98.0
12.0	45.0	31.18531968910247	260.0	98.0
12.0	48.0	31.319499999983236	260.0	98.0
12.0	51.0	31.450782703061122	260.0	98.0
12.0	54.0	31.805300000007264	260.0	98.0
12.0	57.0	31.571328362682834	260.0	98.0
12.0	60.0	31.815200000070035	260.0	98.0
14.0	0.0	1.1518162714201026	260.0	98.0
14.0	3.0	2.3380673656938598	260.0	98.0
14.0	6.0	5.044265317847021	260.0	98.0
14.0	9.0	8.677397448918782	260.0	98.0
14.0	12.0	12.523714047682006	260.0	98.0
14.0	15.0	16.265745899057947	260.0	98.0
14.0	18.0	19.70812271523755	260.0	98.0
14.0	21.0	22.919155289477203	260.0	98.0
14.0	24.0	25.821156172896735	260.0	98.0
14.0	27.0	28.000476855318993	260.0	98.0
14.0	30.0	29.985558592597954	260.0	98.0
14.0	33.0	32.13100691867294	260.0	98.0
14.0	36.0	33.76990170375211	260.0	98.0
14.0	39.0	34.53201310732402	260.0	98.0
14.0	42.0	34.23085816617822	260.0	98.0
14.0	45.0	33.03963569778716	260.0	98.0
14.0	48.0	31.97078038251493	260.0	98.0
14.0	51.0	32.17020986729767	260.0	98.0
14.0	54.0	32.59939709817991	260.0	98.0
14.0	57.0	32.48083785455674	260.0	98.0
14.0	60.0	32.68079182575457	260.0	98.0
16.0	0.0	1.440200000302866	260.0	98.0
16.0	3.0	2.14068321720697	260.0	98.0
16.0	6.0	4.171600000117905	260.0	98.0
16.0	9.0	7.051158255722839	260.0	98.0
16.0	12.0	10.146399999968708	260.0	98.0
16.0	15.0	13.692609219870064	260.0	98.0
16.0	18.0	17.09989999991376	260.0	98.0
16.0	21.0	20.43752360792132	260.0	98.0
16.0	24.0	23.762299999943934	260.0	98.0
16.0	27.0	26.1205574174528	260.0	98.0
16.0	30.0	28.33489999989979	260.0	98.0
16.0	33.0	30.58931436605053	260.0	98.0
16.0	36.0	32.623599999933504	260.0	98.0
16.0	39.0	35.074097019212786	260.0	98.0
16.0	42.0	36.67649999994319	260.0	98.0
16.0	45.0	35.208913523645606	260.0	98.0
16.0	48.0	33.3806999999797	260.0	98.0
16.0	51.0	33.35191229585325	260.0	98.0
16.0	54.0	33.41949999995995	260.0	98.0
16.0	57.0	33.46882412431296	260.0	98.0
16.0	60.0	33.865700000023935	260.0	98.0
18.0	0.0	2.298510255466681	260.0	98.0
18.0	3.0	2.5859247954795137	260.0	98.0
18.0	6.0	3.967597165319603	260.0	98.0
18.0	9.0	6.450387412449345	260.0	98.0
18.0	12.0	9.301077972340863	260.0	98.0
18.0	15.0	11.849349552765489	260.0	98.0
18.0	18.0	14.303051057388075	260.0	98.0
18.0	21.0	17.34994959150208	260.0	98.0
18.0	24.0	20.51941357977921	260.0	98.0
18.0	27.0	23.352569701732136	260.0	98.0
18.0	30.0	26.170468280324712	260.0	98.0
18.0	33.0	28.850009779445827	260.0	98.0
18.0	36.0	31.52421059354674	260.0	98.0
18.0	39.0	34.183530443464406	260.0	98.0
18.0	42.0	36.180919221718796	260.0	98.0
18.0	45.0	36.63411081768572	260.0	98.0
18.0	48.0	36.17704085051082	260.0	98.0
18.0	51.0	35.354894524323754	260.0	98.0
18.0	54.0	34.58695042465115	260.0	98.0
18.0	57.0	34.47798926010728	260.0	98.0
18.0	60.0	34.947862295317464	260.0	98.0
20.0	0.0	3.296399999933783	260.0	98.0
20.0	3.0	3.274029501422774	260.0	98.0
20.0	6.0	4.144699999887962	260.0	98.0
20.0	9.0	6.340983887726907	260.0	98.0
20.0	12.0	9.092400000081398	260.0	98.0
20.0	15.0	10.843069196795113	260.0	98.0
20.0	18.0	12.352299999911338	260.0	98.0
20.0	21.0	14.690575313055888	260.0	98.0
20.0	24.0	17.13349999987986	260.0	98.0
20.0	27.0	20.083755487692542	260.0	98.0
20.0	30.0	23.34260000003269	260.0	98.0
20.0	33.0	26.430027604219504	260.0	98.0
20.0	36.0	29.600800000014715	260.0	98.0
20.0	39.0	31.975490453769453	260.0	98.0
20.0	42.0	34.05099999991944	260.0	98.0
20.0	45.0	36.76289403066039	260.0	98.0
20.0	48.0	38.29970000003232	260.0	98.0
20.0	51.0	37.09411422739504	260.0	98.0
20.0	54.0	35.68799999990733	260.0	98.0
20.0	57.0	35.45424764411291	260.0	98.0
20.0	60.0	35.96659999998519	260.0	98.0
22.0	0.0	4.094802297186106	260.0	98.0
22.0	3.0	3.905969873012509	260.0	98.0
22.0	6.0	4.423552212363575	260.0	98.0
22.0	9.0	6.068104355537798	260.0	98.0
22.0	12.0	8.384305861778557	260.0	98.0
22.0	15.0	10.449142716068309	260.0	98.0
22.0	18.0	12.140939200820867	260.0	98.0
22.0	21.0	13.47066243790323	260.0	98.0
22.0	24.0	14.804825076949783	260.0	98.0
22.0	27.0	17.156668584619183	260.0	98.0
22.0	30.0	20.023694614937995	260.0	98.0
