Q20	Q30	HFB_cubic	A	Z
0.0	0.0	9.03259999997681	272.0	100.0
0.0	3.0	8.8006733719958	272.0	100.0
0.0	6.0	9.76210000005085	272.0	100.0
0.0	9.0	12.156673403806053	272.0	100.0
0.0	12.0	14.680200000060722	272.0	100.0
0.0	15.0	16.32480282970937	272.0	100.0
0.0	18.0	17.291900000127498	272.0	100.0
0.0	21.0	18.31643743836321	272.0	100.0
0.0	24.0	19.466199999966193	272.0	100.0
0.0	27.0	20.775338515115436	272.0	100.0
0.0	30.0	22.304600000032224	272.0	100.0
0.0	33.0	24.23898230039049	272.0	100.0
0.0	36.0	26.549100000062026	272.0	100.0
0.0	39.0	29.0034423742909	272.0	100.0
0.0	42.0	31.245400000014342	272.0	100.0
0.0	45.0	32.49929559760494	272.0	100.0
0.0	48.0	33.31329999997979	272.0	100.0
0.0	51.0	34.44661555613857	272.0	100.0
0.0	54.0	35.86610000015935	272.0	100.0
0.0	57.0	37.61685385403689	272.0	100.0
0.0	60.0	39.704900000127964	272.0	100.0
2.0	0.0	6.9396900000283495	272.0	100.0
2.0	3.0	7.268608988670167	272.0	100.0
2.0	6.0	9.028939657553565	272.0	100.0
2.0	9.0	12.172528356604744	272.0	100.0
2.0	12.0	15.366448327549733	272.0	100.0
2.0	15.0	17.243706203706097	272.0	100.0
2.0	18.0	18.318633505899925	272.0	100.0
2.0	21.0	19.393774260825012	272.0	100.0
2.0	24.0	20.48847239348106	272.0	100.0
2.0	27.0	21.4971241648891	272.0	100.0
2.0	30.0	22.551883998559788	272.0	100.0
2.0	33.0	23.865491884353105	272.0	100.0
2.0	36.0	25.473726274387445	272.0	100.0
2.0	39.0	27.428021820785943	272.0	100.0
2.0	42.0	29.438604816619772	272.0	100.0
2.0	45.0	31.361703646020032	272.0	100.0
2.0	48.0	32.815493057190906	272.0	100.0
2.0	51.0	33.46761179098394	272.0	100.0
2.0	54.0	34.05879280489171	272.0	100.0
2.0	57.0	35.612311873352155	272.0	100.0
2.0	60.0	37.534517040709034	272.0	100.0
4.0	0.0	5.092100000008941	272.0	100.0
4.0	3.0	5.887179782788735	272.0	100.0
4.0	6.0	8.244199999899138	272.0	100.0
4.0	9.0	11.86625996947987	272.0	100.0
4.0	12.0	15.561300000117626	272.0	100.0
4.0	15.0	17.740802938991692	272.0	100.0
4.0	18.0	19.13329999987036	272.0	100.0
4.0	21.0	20.43335150333587	272.0	100.0
4.0	24.0	21.620499999960884	272.0	100.0
4.0	27.0	22.482758939731866	272.0	100.0
4.0	30.0	23.227899999765214	272.0	100.0
4.0	33.0	24.106508571305312	272.0	100.0
4.0	36.0	25.11810000007972	272.0	100.0
4.0	39.0	26.51546963537112	272.0	100.0
4.0	42.0	28.10410000011325	272.0	100.0
4.0	45.0	30.483404092141427	272.0	100.0
4.0	48.0	32.56860000011511	272.0	100.0
4.0	51.0	33.12211284926161	272.0	100.0
4.0	54.0	33.249099999899045	272.0	100.0
4.0	57.0	34.44756649644114	272.0	100.0
4.0	60.0	35.853800000099	272.0	100.0
6.0	0.0	3.9466995976981707	272.0	100.0
6.0	3.0	4.85613052622648	272.0	100.0
6.0	6.0	7.32308261829894	272.0	100.0
6.0	9.0	11.007476874801796	272.0	100.0
6.0	12.0	14.745544787379913	272.0	100.0
6.0	15.0	17.44000144529855	272.0	100.0
6.0	18.0	19.387136970704887	272.0	100.0
6.0	21.0	21.04828206129605	272.0	100.0
6.0	24.0	22.480021205963567	272.0	100.0
6.0	27.0	23.454509134811815	272.0	100.0
6.0	30.0	24.186327644682024	272.0	100.0
6.0	33.0	24.97836462885607	272.0	100.0
6.0	36.0	25.83160702616442	272.0	100.0
6.0	39.0	26.713951143203303	272.0	100.0
6.0	42.0	27.888377850293182	272.0	100.0
6.0	45.0	29.812901693279855	272.0	100.0
6.0	48.0	31.765598519472405	272.0	100.0
6.0	51.0	32.98818417964503	272.0	100.0
6.0	54.0	33.83372731984127	272.0	100.0
6.0	57.0	34.17056848137872	272.0	100.0
6.0	60.0	34.720947729365434	272.0	100.0
8.0	0.0	3.460700000054203	272.0	100.0
8.0	3.0	4.329340761702042	272.0	100.0
8.0	6.0	6.5915000000968575	272.0	100.0
8.0	9.0	9.964734976529144	272.0	100.0
8.0	12.0	13.43110000010347	272.0	100.0
8.0	15.0	16.4641232083668	272.0	100.0
8.0	18.0	18.920000000158325	272.0	100.0
8.0	21.0	20.956839346094057	272.0	100.0
8.0	24.0	22.75970000005327	272.0	100.0
8.0	27.0	24.10747265862301	272.0	100.0
8.0	30.0	25.120999999984633	272.0	100.0
8.0	33.0	26.025498224364128	272.0	100.0
8.0	36.0	26.923499999917112	272.0	100.0
8.0	39.0	27.600354625319596	272.0	100.0
8.0	42.0	28.409399999887682	272.0	100.0
8.0	45.0	29.34071025135927	272.0	100.0
8.0	48.0	30.50900000007823	272.0	100.0
8.0	51.0	32.17349525849568	272.0	100.0
8.0	54.0	33.876200000057	272.0	100.0
8.0	57.0	33.75913885177579	272.0	100.0
8.0	60.0	33.8574999999837	272.0	100.0
10.0	0.0	3.512054081831593	272.0	100.0
10.0	3.0	4.386716780951247	272.0	100.0
10.0	6.0	6.420608255371917	272.0	100.0
10.0	9.0	9.246442917676177	272.0	100.0
10.0	12.0	12.265887048037257	272.0	100.0
10.0	15.0	15.191522715671454	272.0	100.0
10.0	18.0	17.798334908206016	272.0	100.0
10.0	21.0	20.09276309708366	272.0	100.0
10.0	24.0	22.257088290178217	272.0	100.0
10.0	27.0	24.178510998026468	272.0	100.0
10.0	30.0	25.71496140206	272.0	100.0
10.0	33.0	26.717714863014407	272.0	100.0
10.0	36.0	27.55491577432258	272.0	100.0
10.0	39.0	28.505837145727128	272.0	100.0
10.0	42.0	29.24428746360354	272.0	100.0
10.0	45.0	29.231530661170837	272.0	100.0
10.0	48.0	29.270808145403862	272.0	100.0
10.0	51.0	30.509434726147447	272.0	100.0
10.0	54.0	31.83160196733661	272.0	100.0
