Q20	Q30	HFB_cubic	A	Z
0.0	0.0	2.8978999998653308	272.0	88.0
0.0	3.0	1.1641532182693481e-10	272.0	88.0
0.0	6.0	3.808200001134537	272.0	88.0
0.0	9.0	6.8948000009404495	272.0	88.0
0.0	12.0	10.195099999546073	272.0	88.0
0.0	15.0	13.305400000885129	272.0	88.0
0.0	18.0	16.230799999670126	272.0	88.0
0.0	21.0	19.285899999784306	272.0	88.0
0.0	24.0	22.026199999963865	272.0	88.0
0.0	27.0	24.262699999962933	272.0	88.0
0.0	30.0	26.281500000855885	272.0	88.0
0.0	33.0	28.09409999975469	272.0	88.0
0.0	36.0	29.661399999342393	272.0	88.0
0.0	39.0	31.1810999995796	272.0	88.0
0.0	42.0	32.739399999787565	272.0	88.0
0.0	45.0	34.42289999919012	272.0	88.0
0.0	48.0	36.331800000043586	272.0	88.0
0.0	51.0	38.47480000008363	272.0	88.0
0.0	54.0	40.27529999939725	272.0	88.0
0.0	57.0	41.74089999840362	272.0	88.0
0.0	60.0	43.17229999904521	272.0	88.0
2.0	0.0	2.2988000001059845	272.0	88.0
2.0	3.0	2.138599999831058	272.0	88.0
2.0	6.0	3.120400000596419	272.0	88.0
2.0	9.0	5.167200000490993	272.0	88.0
2.0	12.0	7.408700000611134	272.0	88.0
2.0	15.0	10.036400000564754	272.0	88.0
2.0	18.0	13.024500000989065	272.0	88.0
2.0	21.0	15.75679999915883	272.0	88.0
2.0	24.0	18.703599999425933	272.0	88.0
2.0	27.0	21.524600000469945	272.0	88.0
2.0	30.0	24.08349999994971	272.0	88.0
2.0	33.0	26.33810000010999	272.0	88.0
2.0	36.0	28.404799999902025	272.0	88.0
2.0	39.0	30.16089999990072	272.0	88.0
2.0	42.0	31.696200000005774	272.0	88.0
2.0	45.0	33.210999999486376	272.0	88.0
2.0	48.0	34.799599998805206	272.0	88.0
2.0	51.0	36.55979999923147	272.0	88.0
2.0	54.0	38.571000000229105	272.0	88.0
2.0	57.0	40.7834999995539	272.0	88.0
2.0	60.0	42.327100000169594	272.0	88.0
4.0	0.0	3.343399999779649	272.0	88.0
4.0	3.0	3.3900000005960464	272.0	88.0
4.0	6.0	3.8780000004917383	272.0	88.0
4.0	9.0	4.814699999871664	272.0	88.0
4.0	12.0	6.282200000016019	272.0	88.0
4.0	15.0	8.08609999960754	272.0	88.0
4.0	18.0	10.219600000302307	272.0	88.0
4.0	21.0	12.728400000720285	272.0	88.0
4.0	24.0	15.356999999843538	272.0	88.0
4.0	27.0	17.910499999765307	272.0	88.0
4.0	30.0	20.788300000480376	272.0	88.0
4.0	33.0	23.561400000297	272.0	88.0
4.0	36.0	26.11270000069635	272.0	88.0
4.0	39.0	28.4180000005872	272.0	88.0
4.0	42.0	30.506600000313483	272.0	88.0
4.0	45.0	32.19820000015898	272.0	88.0
4.0	48.0	33.697700000484474	272.0	88.0
4.0	51.0	35.2146000006469	272.0	88.0
4.0	54.0	36.85309999942547	272.0	88.0
4.0	57.0	38.704999999317806	272.0	88.0
4.0	60.0	40.811400000500726	272.0	88.0
6.0	0.0	5.426199999987148	272.0	88.0
6.0	3.0	5.455799999181181	272.0	88.0
6.0	6.0	5.552000000141561	272.0	88.0
6.0	9.0	5.775399999693036	272.0	88.0
6.0	12.0	6.3066999996080995	272.0	88.0
6.0	15.0	7.3995999994222075	272.0	88.0
6.0	18.0	8.900799999712035	272.0	88.0
6.0	21.0	10.70589999994263	272.0	88.0
6.0	24.0	12.799500000313856	272.0	88.0
6.0	27.0	14.96889999997802	272.0	88.0
6.0	30.0	17.120599999674596	272.0	88.0
6.0	33.0	19.892900001083035	272.0	88.0
6.0	36.0	22.806600000243634	272.0	88.0
6.0	39.0	25.56629999965662	272.0	88.0
6.0	42.0	28.14330000046175	272.0	88.0
6.0	45.0	30.53819999942789	272.0	88.0
6.0	48.0	32.575700000161305	272.0	88.0
6.0	51.0	34.18099999940023	272.0	88.0
6.0	54.0	35.66099999868311	272.0	88.0
6.0	57.0	37.208099999523256	272.0	88.0
6.0	60.0	38.91169999924023	272.0	88.0
8.0	0.0	7.239799999515526	272.0	88.0
8.0	3.0	7.254600001149811	272.0	88.0
8.0	6.0	7.298700000043027	272.0	88.0
8.0	9.0	7.3719000002602115	272.0	88.0
8.0	12.0	7.475099999457598	272.0	88.0
8.0	15.0	7.7663000002503395	272.0	88.0
8.0	18.0	8.565199998789467	272.0	88.0
8.0	21.0	9.82009999989532	272.0	88.0
8.0	24.0	11.379899999883492	272.0	88.0
8.0	27.0	13.188700000930112	272.0	88.0
8.0	30.0	14.782900000631344	272.0	88.0
8.0	33.0	16.585700000810903	272.0	88.0
8.0	36.0	18.927299999224488	272.0	88.0
8.0	39.0	21.88459999981569	272.0	88.0
8.0	42.0	24.776899999007583	272.0	88.0
8.0	45.0	27.594399998837616	272.0	88.0
8.0	48.0	30.236299999582116	272.0	88.0
