Q20	Q30	HFB_cubic	A	Z
0.0	0.0	8.181599999894388	276.0	102.0
0.0	3.0	7.71511689433828	276.0	102.0
0.0	6.0	8.56160000001546	276.0	102.0
0.0	9.0	11.108218665060122	276.0	102.0
0.0	12.0	13.881399999954738	276.0	102.0
0.0	15.0	15.661550685588736	276.0	102.0
0.0	18.0	16.69279999990249	276.0	102.0
0.0	21.0	17.805187915451825	276.0	102.0
0.0	24.0	19.04370000003837	276.0	102.0
0.0	27.0	20.37775645259535	276.0	102.0
0.0	30.0	22.035000000090804	276.0	102.0
0.0	33.0	24.12920218682848	276.0	102.0
0.0	36.0	26.09719999996014	276.0	102.0
0.0	39.0	27.250623932806775	276.0	102.0
0.0	42.0	27.91089999995893	276.0	102.0
0.0	45.0	28.77312724693911	276.0	102.0
0.0	48.0	29.91249999991851	276.0	102.0
0.0	51.0	31.79427429509815	276.0	102.0
0.0	54.0	33.934299999906216	276.0	102.0
0.0	57.0	35.69690642040223	276.0	102.0
0.0	60.0	37.48170000000391	276.0	102.0
2.0	0.0	6.028193335980177	276.0	102.0
2.0	3.0	6.210354312497657	276.0	102.0
2.0	6.0	7.91119933425216	276.0	102.0
2.0	9.0	11.07935643417295	276.0	102.0
2.0	12.0	14.386261587031186	276.0	102.0
2.0	15.0	16.446629530226346	276.0	102.0
2.0	18.0	17.630140633962583	276.0	102.0
2.0	21.0	18.62060102081159	276.0	102.0
2.0	24.0	19.641043696377892	276.0	102.0
2.0	27.0	20.792036010418087	276.0	102.0
2.0	30.0	22.10922789189499	276.0	102.0
2.0	33.0	23.868981375882868	276.0	102.0
2.0	36.0	25.731752105115447	276.0	102.0
2.0	39.0	27.10926602501422	276.0	102.0
2.0	42.0	28.240136416163296	276.0	102.0
2.0	45.0	28.883640770742204	276.0	102.0
2.0	48.0	29.568610697227996	276.0	102.0
2.0	51.0	30.53250189148821	276.0	102.0
2.0	54.0	31.703290530887898	276.0	102.0
2.0	57.0	33.25489009555895	276.0	102.0
2.0	60.0	34.96006099850638	276.0	102.0
4.0	0.0	4.2041999999200925	276.0	102.0
4.0	3.0	4.945366611005738	276.0	102.0
4.0	6.0	7.290000000037253	276.0	102.0
4.0	9.0	10.796351425582543	276.0	102.0
4.0	12.0	14.43549999978859	276.0	102.0
4.0	15.0	16.788839356100652	276.0	102.0
4.0	18.0	18.315600000147242	276.0	102.0
4.0	21.0	19.419031069090124	276.0	102.0
4.0	24.0	20.428899999998976	276.0	102.0
4.0	27.0	21.509284329717048	276.0	102.0
4.0	30.0	22.379699999873992	276.0	102.0
4.0	33.0	23.341964615741745	276.0	102.0
4.0	36.0	24.57710000005318	276.0	102.0
4.0	39.0	26.000621243729256	276.0	102.0
4.0	42.0	27.698800000129268	276.0	102.0
4.0	45.0	28.42769029806368	276.0	102.0
4.0	48.0	29.11619999993127	276.0	102.0
4.0	51.0	29.64310472458601	276.0	102.0
4.0	54.0	30.17410000000382	276.0	102.0
4.0	57.0	31.501446353562642	276.0	102.0
4.0	60.0	32.96089999983087	276.0	102.0
6.0	0.0	3.2779927276424132	276.0	102.0
6.0	3.0	4.1617751430603676	276.0	102.0
6.0	6.0	6.571509444736876	276.0	102.0
6.0	9.0	10.072133170440793	276.0	102.0
6.0	12.0	13.648981519276276	276.0	102.0
6.0	15.0	16.35077282646671	276.0	102.0
6.0	18.0	18.335025419364683	276.0	102.0
6.0	21.0	19.90686039661523	276.0	102.0
6.0	24.0	21.32289982959628	276.0	102.0
6.0	27.0	22.47783786302898	276.0	102.0
6.0	30.0	23.079357132781297	276.0	102.0
6.0	33.0	22.921559174836148	276.0	102.0
6.0	36.0	22.80603985732887	276.0	102.0
6.0	39.0	24.05641508870758	276.0	102.0
6.0	42.0	25.68890037451638	276.0	102.0
6.0	45.0	26.968980859441217	276.0	102.0
6.0	48.0	28.127416843897663	276.0	102.0
6.0	51.0	29.09609873505542	276.0	102.0
6.0	54.0	29.990327025647275	276.0	102.0
6.0	57.0	30.771241349517368	276.0	102.0
6.0	60.0	31.77809102233732	276.0	102.0
8.0	0.0	3.225099999923259	276.0	102.0
8.0	3.0	4.056984216964338	276.0	102.0
8.0	6.0	6.165099999925587	276.0	102.0
8.0	9.0	9.281944887479767	276.0	102.0
8.0	12.0	12.476400000159629	276.0	102.0
8.0	15.0	15.310179771098774	276.0	102.0
8.0	18.0	17.675500000070315	276.0	102.0
8.0	21.0	19.764185711333994	276.0	102.0
8.0	24.0	21.737200000032317	276.0	102.0
8.0	27.0	23.20993719570106	276.0	102.0
8.0	30.0	23.99230000009993	276.0	102.0
8.0	33.0	23.382569468580186	276.0	102.0
8.0	36.0	22.260899999877438	276.0	102.0
8.0	39.0	22.89550992817385	276.0	102.0
8.0	42.0	23.750700000033248	276.0	102.0
8.0	45.0	25.189301632111892	276.0	102.0
8.0	48.0	26.745700000145007	276.0	102.0
8.0	51.0	28.295811542251613	276.0	102.0
8.0	54.0	29.80419999989681	276.0	102.0
8.0	57.0	30.343586876406334	276.0	102.0
8.0	60.0	31.107299999974202	276.0	102.0
10.0	0.0	3.8523318496881984	276.0	102.0
10.0	3.0	4.637153090676293	276.0	102.0
10.0	6.0	6.4484189247014	276.0	102.0
10.0	9.0	8.904187418753281	276.0	102.0
10.0	12.0	11.506825088523328	276.0	102.0
10.0	15.0	14.111519799393136	276.0	102.0
10.0	18.0	16.533783983031753	276.0	102.0
10.0	21.0	18.87198165693553	276.0	102.0
10.0	24.0	21.18377437093295	276.0	102.0
10.0	27.0	23.171672636293806	276.0	102.0
10.0	30.0	24.580760305805597	276.0	102.0
10.0	33.0	24.884741750836838	276.0	102.0
10.0	36.0	24.391563772573136	276.0	102.0
10.0	39.0	23.668964151002	276.0	102.0
10.0	42.0	23.2910064253374	276.0	102.0
10.0	45.0	24.018609596590977	276.0	102.0
10.0	48.0	25.369871233706363	276.0	102.0
10.0	51.0	26.938008658820763	276.0	102.0
10.0	54.0	28.354996562586166	276.0	102.0
10.0	57.0	29.431939622067148	276.0	102.0
10.0	60.0	30.544667190668406	276.0	102.0
12.0	0.0	4.8595999999088235	276.0	102.0
12.0	3.0	5.582173570233863	276.0	102.0
12.0	6.0	7.1282000000355765	276.0	102.0
