Q20	Q30	HFB_cubic	A	Z
0.0	0.0	6.949100000783801	296.0	106.0
0.0	3.0	2.5398000003769994	296.0	106.0
0.0	6.0	2.1098999972455204	296.0	106.0
0.0	9.0	3.3162999977357686	296.0	106.0
0.0	12.0	7.13289999961853	296.0	106.0
0.0	15.0	9.526200000196695	296.0	106.0
0.0	18.0	11.861300001386553	296.0	106.0
0.0	21.0	14.278000002726912	296.0	106.0
0.0	24.0	15.653799998573959	296.0	106.0
0.0	27.0	17.14289999892935	296.0	106.0
0.0	30.0	18.814200000371784	296.0	106.0
0.0	33.0	20.583999999798834	296.0	106.0
0.0	36.0	22.02409999957308	296.0	106.0
0.0	39.0	23.2610999988392	296.0	106.0
0.0	42.0	24.87669999944046	296.0	106.0
0.0	45.0	26.812000000849366	296.0	106.0
0.0	48.0	28.88919999776408	296.0	106.0
0.0	51.0	30.852200001478195	296.0	106.0
0.0	54.0	32.40430000051856	296.0	106.0
0.0	57.0	33.261200001463294	296.0	106.0
0.0	60.0	34.21160000190139	296.0	106.0
2.0	0.0	5.474700000137091	296.0	106.0
2.0	3.0	2.7398999999277294	296.0	106.0
2.0	6.0	1.8007999984547496	296.0	106.0
2.0	9.0	2.3866999996826053	296.0	106.0
2.0	12.0	6.200000000651926	296.0	106.0
2.0	15.0	8.621600000187755	296.0	106.0
2.0	18.0	10.85740000102669	296.0	106.0
2.0	21.0	13.127299998886883	296.0	106.0
2.0	24.0	15.329600000288337	296.0	106.0
2.0	27.0	16.858699997887015	296.0	106.0
2.0	30.0	18.315700001083314	296.0	106.0
2.0	33.0	19.929099999833852	296.0	106.0
2.0	36.0	21.714200001675636	296.0	106.0
2.0	39.0	23.294600000139326	296.0	106.0
2.0	42.0	24.394599999766797	296.0	106.0
2.0	45.0	25.795500000473112	296.0	106.0
2.0	48.0	27.559499999973923	296.0	106.0
2.0	51.0	29.605399999767542	296.0	106.0
2.0	54.0	31.695200000423938	296.0	106.0
2.0	57.0	33.54350000107661	296.0	106.0
2.0	60.0	34.70949999894947	296.0	106.0
4.0	0.0	3.6268999986350536	296.0	106.0
4.0	3.0	3.066499998793006	296.0	106.0
4.0	6.0	1.7281999993138015	296.0	106.0
4.0	9.0	1.654799999203533	296.0	106.0
4.0	12.0	4.485699999611825	296.0	106.0
4.0	15.0	7.712800001259893	296.0	106.0
4.0	18.0	9.941700001247227	296.0	106.0
4.0	21.0	12.146600000560284	296.0	106.0
4.0	24.0	14.228199999779463	296.0	106.0
4.0	27.0	16.292200001422316	296.0	106.0
4.0	30.0	18.02999999979511	296.0	106.0
4.0	33.0	19.456100000068545	296.0	106.0
4.0	36.0	20.970499998889863	296.0	106.0
4.0	39.0	22.638199998997152	296.0	106.0
4.0	42.0	24.56419999944046	296.0	106.0
4.0	45.0	25.62990000192076	296.0	106.0
4.0	48.0	26.84279999975115	296.0	106.0
4.0	51.0	28.44370000064373	296.0	106.0
4.0	54.0	30.293699998408556	296.0	106.0
4.0	57.0	32.351500001270324	296.0	106.0
4.0	60.0	34.399800000246614	296.0	106.0
6.0	0.0	3.848000001627952	296.0	106.0
6.0	3.0	3.2699999986216426	296.0	106.0
6.0	6.0	2.0419000000692904	296.0	106.0
6.0	9.0	1.6009000004269183	296.0	106.0
6.0	12.0	3.5170999984256923	296.0	106.0
6.0	15.0	6.691000000573695	296.0	106.0
6.0	18.0	9.021200000774115	296.0	106.0
6.0	21.0	11.229500001296401	296.0	106.0
6.0	24.0	13.239800000097603	296.0	106.0
6.0	27.0	15.298500000499189	296.0	106.0
6.0	30.0	17.21420000027865	296.0	106.0
6.0	33.0	18.79860000126064	296.0	106.0
6.0	36.0	20.438400000799447	296.0	106.0
6.0	39.0	22.00639999937266	296.0	106.0
6.0	42.0	23.65929999994114	296.0	106.0
6.0	45.0	25.418200000654906	296.0	106.0
6.0	48.0	26.900200000498444	296.0	106.0
6.0	51.0	28.069700000807643	296.0	106.0
6.0	54.0	29.383499999996275	296.0	106.0
6.0	57.0	31.055300002451986	296.0	106.0
6.0	60.0	33.02680000057444	296.0	106.0
8.0	0.0	4.06150000076741	296.0	106.0
8.0	3.0	3.6511999987997115	296.0	106.0
8.0	6.0	2.738000000361353	296.0	106.0
8.0	9.0	2.3119999985210598	296.0	106.0
8.0	12.0	3.5097000007517636	296.0	106.0
8.0	15.0	6.180000000167638	296.0	106.0
8.0	18.0	8.16330000013113	296.0	106.0
8.0	21.0	10.186900000087917	296.0	106.0
8.0	24.0	12.199700000695884	296.0	106.0
8.0	27.0	14.28810000186786	296.0	106.0
8.0	30.0	16.381800000555813	296.0	106.0
8.0	33.0	17.939700001385063	296.0	106.0
8.0	36.0	19.62540000025183	296.0	106.0
8.0	39.0	21.340499999932945	296.0	106.0
8.0	42.0	22.99559999955818	296.0	106.0
8.0	45.0	24.62959999963641	296.0	106.0
8.0	48.0	26.37819999968633	296.0	106.0
8.0	51.0	28.105100002139807	296.0	106.0
8.0	54.0	29.27919999882579	296.0	106.0
8.0	57.0	30.468900000676513	296.0	106.0
8.0	60.0	31.94590000063181	296.0	106.0
10.0	0.0	4.3824000004678965	296.0	106.0
10.0	3.0	4.09569999948144	296.0	106.0
10.0	6.0	3.501600000541657	296.0	106.0
10.0	9.0	3.342199998907745	296.0	106.0
10.0	12.0	4.263600001111627	296.0	106.0
10.0	15.0	6.62099999981001	296.0	106.0
10.0	18.0	7.9549999996088445	296.0	106.0
10.0	21.0	9.613899999763817	296.0	106.0
10.0	24.0	11.291799999773502	296.0	106.0
10.0	27.0	13.248000001069158	296.0	106.0
10.0	30.0	15.246900000609457	296.0	106.0
10.0	33.0	17.23479999927804	296.0	106.0
10.0	36.0	18.791699999012053	296.0	106.0
10.0	39.0	20.421500000637025	296.0	106.0
10.0	42.0	22.07260000007227	296.0	106.0
10.0	45.0	23.862300000153482	296.0	106.0
10.0	48.0	25.622499999590218	296.0	106.0
