Q20	Q30	HFB_cubic	A	Z
0.0	0.0	20.83710000001156	318.0	104.0
0.0	3.0	18.09852329960995	318.0	104.0
0.0	6.0	16.0040000000663	318.0	104.0
0.0	9.0	15.670077988906996	318.0	104.0
0.0	12.0	16.38529999997263	318.0	104.0
0.0	15.0	17.542101237741008	318.0	104.0
0.0	18.0	18.6950000001234	318.0	104.0
0.0	21.0	19.31214301444561	318.0	104.0
0.0	24.0	19.70569999999134	318.0	104.0
0.0	27.0	20.34617903092294	318.0	104.0
0.0	30.0	21.08719999997993	318.0	104.0
0.0	33.0	21.930298800900346	318.0	104.0
0.0	36.0	22.907199999928707	318.0	104.0
0.0	39.0	23.879047183065268	318.0	104.0
0.0	42.0	24.837800000037532	318.0	104.0
0.0	45.0	25.78226086376526	318.0	104.0
0.0	48.0	26.853299999907904	318.0	104.0
0.0	51.0	28.159511636920797	318.0	104.0
0.0	54.0	29.454099999988102	318.0	104.0
0.0	57.0	30.417994464063668	318.0	104.0
0.0	60.0	31.237600000051316	318.0	104.0
2.0	0.0	19.107606976940588	318.0	104.0
2.0	3.0	17.385714281816036	318.0	104.0
2.0	6.0	16.22523882495443	318.0	104.0
2.0	9.0	15.96295096220274	318.0	104.0
2.0	12.0	16.448990906079416	318.0	104.0
2.0	15.0	17.39780982643424	318.0	104.0
2.0	18.0	18.589920871112554	318.0	104.0
2.0	21.0	19.78278155162843	318.0	104.0
2.0	24.0	20.765002051608462	318.0	104.0
2.0	27.0	21.334638749845908	318.0	104.0
2.0	30.0	21.763488720425812	318.0	104.0
2.0	33.0	22.47608079526981	318.0	104.0
2.0	36.0	23.328087073619827	318.0	104.0
2.0	39.0	24.21260602606344	318.0	104.0
2.0	42.0	25.093752405315172	318.0	104.0
2.0	45.0	25.961028629695647	318.0	104.0
2.0	48.0	26.928329001253587	318.0	104.0
2.0	51.0	28.046238106529927	318.0	104.0
2.0	54.0	29.197690154331212	318.0	104.0
2.0	57.0	30.27997295089881	318.0	104.0
2.0	60.0	31.263834598583344	318.0	104.0
4.0	0.0	17.209900000088965	318.0	104.0
4.0	3.0	16.532089013489895	318.0	104.0
4.0	6.0	16.332699999926263	318.0	104.0
4.0	9.0	16.154267769903527	318.0	104.0
4.0	12.0	16.38059999993129	318.0	104.0
4.0	15.0	17.046103092892736	318.0	104.0
4.0	18.0	18.21519999991142	318.0	104.0
4.0	21.0	20.000563022440474	318.0	104.0
4.0	24.0	21.684199999908742	318.0	104.0
4.0	27.0	22.382937110545754	318.0	104.0
4.0	30.0	22.673799999902258	318.0	104.0
4.0	33.0	23.271451536398672	318.0	104.0
4.0	36.0	23.935900000011316	318.0	104.0
4.0	39.0	24.689826659559913	318.0	104.0
4.0	42.0	25.46690000005765	318.0	104.0
4.0	45.0	26.263631154761242	318.0	104.0
4.0	48.0	27.13520000000426	318.0	104.0
4.0	51.0	28.051470630802214	318.0	104.0
4.0	54.0	29.027700000013283	318.0	104.0
4.0	57.0	30.174309813664877	318.0	104.0
4.0	60.0	31.28409999995347	318.0	104.0
6.0	0.0	15.380052219443314	318.0	104.0
6.0	3.0	15.293527636997169	318.0	104.0
6.0	6.0	15.62112153929047	318.0	104.0
6.0	9.0	15.796390133160457	318.0	104.0
6.0	12.0	16.04152338240965	318.0	104.0
6.0	15.0	16.568650347937364	318.0	104.0
6.0	18.0	17.745015590509865	318.0	104.0
6.0	21.0	19.851089415613387	318.0	104.0
6.0	24.0	21.96909697857336	318.0	104.0
6.0	27.0	23.188513510285702	318.0	104.0
6.0	30.0	23.844043185948976	318.0	104.0
6.0	33.0	24.292399904268677	318.0	104.0
6.0	36.0	24.768805546678777	318.0	104.0
6.0	39.0	25.37206196699117	318.0	104.0
6.0	42.0	25.99991663482797	318.0	104.0
6.0	45.0	26.72495068522403	318.0	104.0
6.0	48.0	27.49660579374904	318.0	104.0
6.0	51.0	28.27729988390638	318.0	104.0
6.0	54.0	29.156261616459233	318.0	104.0
6.0	57.0	30.181356026791036	318.0	104.0
6.0	60.0	31.24362650117837	318.0	104.0
8.0	0.0	13.380099999951199	318.0	104.0
8.0	3.0	13.560877310141223	318.0	104.0
8.0	6.0	14.176999999974214	318.0	104.0
8.0	9.0	14.807851803190715	318.0	104.0
8.0	12.0	15.369199999971897	318.0	104.0
8.0	15.0	16.002203269817983	318.0	104.0
8.0	18.0	17.23039999997127	318.0	104.0
8.0	21.0	19.44703470985405	318.0	104.0
8.0	24.0	21.750499999994645	318.0	104.0
8.0	27.0	23.43762134638382	318.0	104.0
8.0	30.0	24.5916000000434	318.0	104.0
8.0	33.0	25.134600266552297	318.0	104.0
8.0	36.0	25.659099999946193	318.0	104.0
8.0	39.0	26.242476998260827	318.0	104.0
8.0	42.0	26.770000000062282	318.0	104.0
8.0	45.0	27.396173482295126	318.0	104.0
8.0	48.0	28.0287000000244	318.0	104.0
8.0	51.0	28.703878201617044	318.0	104.0
8.0	54.0	29.4925000000585	318.0	104.0
8.0	57.0	30.33540166936291	318.0	104.0
8.0	60.0	31.28240000007645	318.0	104.0
10.0	0.0	11.023568374934257	318.0	104.0
10.0	3.0	11.349333418809692	318.0	104.0
10.0	6.0	12.204507897607982	318.0	104.0
10.0	9.0	13.289390768804878	318.0	104.0
10.0	12.0	14.349695323238848	318.0	104.0
10.0	15.0	15.336123489738384	318.0	104.0
10.0	18.0	16.77231660108373	318.0	104.0
10.0	21.0	18.978712975884264	318.0	104.0
10.0	24.0	21.25322481150215	318.0	104.0
10.0	27.0	23.048459575402376	318.0	104.0
10.0	30.0	24.358115111259394	318.0	104.0
10.0	33.0	25.412466943809704	318.0	104.0
10.0	36.0	26.371969175786944	318.0	104.0
10.0	39.0	27.114881695000804	318.0	104.0
10.0	42.0	27.74764241428784	318.0	104.0
10.0	45.0	28.265346214728197	318.0	104.0
10.0	48.0	28.723865683678014	318.0	104.0
10.0	51.0	29.31449590192642	318.0	104.0
10.0	54.0	29.938070278658415	318.0	104.0
10.0	57.0	30.65018613810389	318.0	104.0
10.0	60.0	31.526032338872028	318.0	104.0
12.0	0.0	8.38469999996596	318.0	104.0
12.0	3.0	8.776232547876134	318.0	104.0
12.0	6.0	9.836899999994785	318.0	104.0
12.0	9.0	11.331034372997237	318.0	104.0
12.0	12.0	12.955999999925552	318.0	104.0
12.0	15.0	14.483310752708348	318.0	104.0
12.0	18.0	16.285399999913352	318.0	104.0
12.0	21.0	18.521944752290437	318.0	104.0
12.0	24.0	20.672000000013213	318.0	104.0
12.0	27.0	22.364830239814182	318.0	104.0
12.0	30.0	23.650599999942642	318.0	104.0
12.0	33.0	25.153065851867723	318.0	104.0
12.0	36.0	26.575300000033167	318.0	104.0
12.0	39.0	27.593665799402515	318.0	104.0
12.0	42.0	28.52179999998043	318.0	104.0
12.0	45.0	29.180703461046505	318.0	104.0
12.0	48.0	29.66670000005979	318.0	104.0
12.0	51.0	30.189604654682626	318.0	104.0
12.0	54.0	30.589599999948405	318.0	104.0
12.0	57.0	31.147116623542388	318.0	104.0
12.0	60.0	31.928300000123272	318.0	104.0
14.0	0.0	5.655984411059762	318.0	104.0
14.0	3.0	6.062818192782288	318.0	104.0
14.0	6.0	7.2620074349833885	318.0	104.0
14.0	9.0	9.059226402772765	318.0	104.0
14.0	12.0	11.158468812900537	318.0	104.0
14.0	15.0	13.344632935644768	318.0	104.0
14.0	18.0	15.662199930695351	318.0	104.0
14.0	21.0	18.004168674560788	318.0	104.0
14.0	24.0	20.100181148365664	318.0	104.0
14.0	27.0	21.723883631202625	318.0	104.0
14.0	30.0	23.07832881570357	318.0	104.0
14.0	33.0	24.597347841896408	318.0	104.0
14.0	36.0	26.093041142710717	318.0	104.0
14.0	39.0	27.429217048898863	318.0	104.0
14.0	42.0	28.69074190037645	318.0	104.0
14.0	45.0	29.85928856629471	318.0	104.0
14.0	48.0	30.804863866018422	318.0	104.0
14.0	51.0	31.23815380967426	318.0	104.0
14.0	54.0	31.471818284029723	318.0	104.0
14.0	57.0	31.8416390944476	318.0	104.0
14.0	60.0	32.44091779048904	318.0	104.0
16.0	0.0	3.1569999999410356	318.0	104.0
16.0	3.0	3.528438380730222	318.0	104.0
16.0	6.0	4.775099999984377	318.0	104.0
