Q20	Q30	HFB_cubic	A	Z
0.0	0.0	14.143800000005285	336.0	108.0
0.0	3.0	13.305849092415883	336.0	108.0
0.0	6.0	13.48600000004626	336.0	108.0
0.0	9.0	15.339522409245546	336.0	108.0
0.0	12.0	17.3786999999802	336.0	108.0
0.0	15.0	18.336584698602564	336.0	108.0
0.0	18.0	18.767099999970014	336.0	108.0
0.0	21.0	19.257937672497064	336.0	108.0
0.0	24.0	19.80589999998847	336.0	108.0
0.0	27.0	20.31495131522297	336.0	108.0
0.0	30.0	20.748600000017177	336.0	108.0
0.0	33.0	21.29311080606203	336.0	108.0
0.0	36.0	21.954000000014275	336.0	108.0
0.0	39.0	22.64492966004582	336.0	108.0
0.0	42.0	23.382700000031946	336.0	108.0
0.0	45.0	24.23983364177093	336.0	108.0
0.0	48.0	25.248500000032436	336.0	108.0
0.0	51.0	26.411499200832623	336.0	108.0
0.0	54.0	27.762599999935446	336.0	108.0
0.0	57.0	29.308608643757907	336.0	108.0
0.0	60.0	31.00189999995382	336.0	108.0
2.0	0.0	12.807003011459528	336.0	108.0
2.0	3.0	12.636360457983756	336.0	108.0
2.0	6.0	13.44391081183312	336.0	108.0
2.0	9.0	15.323247461448773	336.0	108.0
2.0	12.0	17.196138485814117	336.0	108.0
2.0	15.0	18.20116138364756	336.0	108.0
2.0	18.0	18.875766587004364	336.0	108.0
2.0	21.0	19.83361477385006	336.0	108.0
2.0	24.0	20.843916348201674	336.0	108.0
2.0	27.0	21.42679771814528	336.0	108.0
2.0	30.0	21.757245348177094	336.0	108.0
2.0	33.0	22.21650762894751	336.0	108.0
2.0	36.0	22.806840579387426	336.0	108.0
2.0	39.0	23.385738341464275	336.0	108.0
2.0	42.0	23.95979738835922	336.0	108.0
2.0	45.0	24.616532763327996	336.0	108.0
2.0	48.0	25.38985714341561	336.0	108.0
2.0	51.0	26.30712995466456	336.0	108.0
2.0	54.0	27.37287228909554	336.0	108.0
2.0	57.0	28.623763732374755	336.0	108.0
2.0	60.0	30.073945076963355	336.0	108.0
4.0	0.0	11.601699999984703	336.0	108.0
4.0	3.0	12.113298607720935	336.0	108.0
4.0	6.0	13.50159999999596	336.0	108.0
4.0	9.0	15.33473583975956	336.0	108.0
4.0	12.0	16.974299999989853	336.0	108.0
4.0	15.0	17.950676356568692	336.0	108.0
4.0	18.0	18.84129999997458	336.0	108.0
4.0	21.0	20.354038739502357	336.0	108.0
4.0	24.0	21.91270000001441	336.0	108.0
4.0	27.0	22.58778018278008	336.0	108.0
4.0	30.0	22.82779999999184	336.0	108.0
4.0	33.0	23.231644608799797	336.0	108.0
4.0	36.0	23.786599999979444	336.0	108.0
4.0	39.0	24.29620369033546	336.0	108.0
4.0	42.0	24.752000000000407	336.0	108.0
4.0	45.0	25.244887070681216	336.0	108.0
4.0	48.0	25.811499999999796	336.0	108.0
4.0	51.0	26.511877504068252	336.0	108.0
4.0	54.0	27.304299999981595	336.0	108.0
4.0	57.0	28.246324547639233	336.0	108.0
4.0	60.0	29.422699999948236	336.0	108.0
6.0	0.0	10.737717866286403	336.0	108.0
6.0	3.0	11.55462517856904	336.0	108.0
6.0	6.0	13.184702210568503	336.0	108.0
6.0	9.0	15.15002655923854	336.0	108.0
6.0	12.0	16.83677794373125	336.0	108.0
6.0	15.0	17.771664568211236	336.0	108.0
6.0	18.0	18.749503189705138	336.0	108.0
6.0	21.0	20.792291356499845	336.0	108.0
6.0	24.0	22.780841987928397	336.0	108.0
6.0	27.0	23.604872318799607	336.0	108.0
6.0	30.0	23.848626621915173	336.0	108.0
6.0	33.0	24.254785033472217	336.0	108.0
6.0	36.0	24.815462808335724	336.0	108.0
6.0	39.0	25.31595378183556	336.0	108.0
6.0	42.0	25.73091658244084	336.0	108.0
6.0	45.0	26.115944119626874	336.0	108.0
6.0	48.0	26.544826985369582	336.0	108.0
6.0	51.0	27.077396898095685	336.0	108.0
6.0	54.0	27.665666639706615	336.0	108.0
6.0	57.0	28.335231765355275	336.0	108.0
6.0	60.0	29.291158858023664	336.0	108.0
8.0	0.0	9.796300000048177	336.0	108.0
8.0	3.0	10.681199121399914	336.0	108.0
8.0	6.0	12.375400000006266	336.0	108.0
8.0	9.0	14.567306702043425	336.0	108.0
8.0	12.0	16.593599999999242	336.0	108.0
8.0	15.0	17.820302063280906	336.0	108.0
8.0	18.0	19.00840000000062	336.0	108.0
8.0	21.0	21.328388136322246	336.0	108.0
8.0	24.0	23.43710000001738	336.0	108.0
8.0	27.0	24.3721804189463	336.0	108.0
8.0	30.0	24.726700000013807	336.0	108.0
8.0	33.0	25.207942902523428	336.0	108.0
8.0	36.0	25.8085000000101	336.0	108.0
8.0	39.0	26.34397656949659	336.0	108.0
8.0	42.0	26.78299999999399	336.0	108.0
8.0	45.0	27.135581781492874	336.0	108.0
8.0	48.0	27.5011999999806	336.0	108.0
8.0	51.0	27.9311742777154	336.0	108.0
8.0	54.0	28.378599999985454	336.0	108.0
8.0	57.0	28.84286791733757	336.0	108.0
8.0	60.0	29.606099999977232	336.0	108.0
10.0	0.0	8.37146609638421	336.0	108.0
10.0	3.0	9.27578414315576	336.0	108.0
10.0	6.0	11.034959495626026	336.0	108.0
10.0	9.0	13.473211259801246	336.0	108.0
10.0	12.0	15.949529083904054	336.0	108.0
10.0	15.0	17.999127944347492	336.0	108.0
10.0	18.0	19.903522508961032	336.0	108.0
10.0	21.0	21.969507566955144	336.0	108.0
10.0	24.0	23.7692728626389	336.0	108.0
10.0	27.0	24.844988846438355	336.0	108.0
10.0	30.0	25.43065262347409	336.0	108.0
10.0	33.0	26.021334751827453	336.0	108.0
10.0	36.0	26.670396644514767	336.0	108.0
10.0	39.0	27.27075267208056	336.0	108.0
10.0	42.0	27.77284547029376	336.0	108.0
10.0	45.0	28.16954248904949	336.0	108.0
10.0	48.0	28.550758136689183	336.0	108.0
10.0	51.0	28.9374055484368	336.0	108.0
10.0	54.0	29.289220319022206	336.0	108.0
10.0	57.0	29.627820346997396	336.0	108.0
10.0	60.0	30.2266521243655	336.0	108.0
12.0	0.0	6.48700000005374	336.0	108.0
12.0	3.0	7.343171620190333	336.0	108.0
12.0	6.0	9.191500000009	336.0	108.0
12.0	9.0	11.934793309075758	336.0	108.0
12.0	12.0	14.922900000032314	336.0	108.0
12.0	15.0	17.787022311829787	336.0	108.0
12.0	18.0	20.379199999988487	336.0	108.0
12.0	21.0	22.22478675522325	336.0	108.0
12.0	24.0	23.774599999989732	336.0	108.0
12.0	27.0	25.019927863884732	336.0	108.0
12.0	30.0	25.870200000003024	336.0	108.0
12.0	33.0	26.613070556304592	336.0	108.0
12.0	36.0	27.33879999999226	336.0	108.0
12.0	39.0	28.018623312791533	336.0	108.0
12.0	42.0	28.607100000001083	336.0	108.0
12.0	45.0	29.101090146730712	336.0	108.0
12.0	48.0	29.563899999995556	336.0	108.0
12.0	51.0	29.976203915675796	336.0	108.0
12.0	54.0	30.30699999997705	336.0	108.0
12.0	57.0	30.58682823268464	336.0	108.0
12.0	60.0	31.071500000012747	336.0	108.0
14.0	0.0	4.34445616125322	336.0	108.0
14.0	3.0	5.105220755976916	336.0	108.0
14.0	6.0	7.00991284025622	336.0	108.0
14.0	9.0	10.09454958610695	336.0	108.0
14.0	12.0	13.56732920255854	336.0	108.0
14.0	15.0	16.70566897786921	336.0	108.0
14.0	18.0	19.426557826305725	336.0	108.0
14.0	21.0	21.586934031072815	336.0	108.0
14.0	24.0	23.388159696141884	336.0	108.0
14.0	27.0	24.82530889599002	336.0	108.0
14.0	30.0	25.936408714820573	336.0	108.0
14.0	33.0	26.880026211476434	336.0	108.0
14.0	36.0	27.751976273610126	336.0	108.0
14.0	39.0	28.540697041142266	336.0	108.0
14.0	42.0	29.22593626102571	336.0	108.0
14.0	45.0	29.86602050665533	336.0	108.0
14.0	48.0	30.44576962100109	336.0	108.0
14.0	51.0	30.9544116663983	336.0	108.0
14.0	54.0	31.3464884891182	336.0	108.0
14.0	57.0	31.634459180759222	336.0	108.0
14.0	60.0	32.076186949096154	336.0	108.0
16.0	0.0	2.3191000000433633	336.0	108.0
16.0	3.0	2.954627379037447	336.0	108.0
16.0	6.0	4.828299999999217	336.0	108.0
16.0	9.0	8.06405263463239	336.0	108.0
16.0	12.0	11.730699999994613	336.0	108.0
16.0	15.0	14.784712246857453	336.0	108.0
16.0	18.0	17.439700000008088	336.0	108.0
16.0	21.0	20.041896230644852	336.0	108.0
16.0	24.0	22.325600000000122	336.0	108.0
16.0	27.0	24.05328427065251	336.0	108.0
