Q20	Q30	HFB_cubic	A	Z
0.0	0.0	10.55399999996007	344.0	110.0
0.0	3.0	9.899535534328606	344.0	110.0
0.0	6.0	10.189199999975244	344.0	110.0
0.0	9.0	11.86673526917366	344.0	110.0
0.0	12.0	13.81319999997504	344.0	110.0
0.0	15.0	15.067600584086904	344.0	110.0
0.0	18.0	15.894800000016403	344.0	110.0
0.0	21.0	16.778451982052502	344.0	110.0
0.0	24.0	17.5950000000812	344.0	110.0
0.0	27.0	18.164645918855967	344.0	110.0
0.0	30.0	18.649499999995896	344.0	110.0
0.0	33.0	19.281394971563714	344.0	110.0
0.0	36.0	20.02410000000964	344.0	110.0
0.0	39.0	20.82145275295261	344.0	110.0
0.0	42.0	21.67550000000847	344.0	110.0
0.0	45.0	22.65016918192123	344.0	110.0
0.0	48.0	23.775900000022375	344.0	110.0
0.0	51.0	25.043960504252027	344.0	110.0
0.0	54.0	26.45480000002135	344.0	110.0
0.0	57.0	27.963075608800864	344.0	110.0
0.0	60.0	29.576799999995274	344.0	110.0
2.0	0.0	9.084310537706187	344.0	110.0
2.0	3.0	9.022650434235402	344.0	110.0
2.0	6.0	9.958863044281316	344.0	110.0
2.0	9.0	11.948829417393426	344.0	110.0
2.0	12.0	14.080431934558874	344.0	110.0
2.0	15.0	15.474713904724922	344.0	110.0
2.0	18.0	16.41621935216608	344.0	110.0
2.0	21.0	17.391272058437607	344.0	110.0
2.0	24.0	18.28827310588167	344.0	110.0
2.0	27.0	18.892653083908954	344.0	110.0
2.0	30.0	19.378390045494598	344.0	110.0
2.0	33.0	19.995796993196564	344.0	110.0
2.0	36.0	20.70190808588086	344.0	110.0
2.0	39.0	21.368015743584692	344.0	110.0
2.0	42.0	22.043111331848195	344.0	110.0
2.0	45.0	22.81826872608508	344.0	110.0
2.0	48.0	23.708587941582664	344.0	110.0
2.0	51.0	24.737061523297598	344.0	110.0
2.0	54.0	25.88049700425472	344.0	110.0
2.0	57.0	27.177332619445224	344.0	110.0
2.0	60.0	28.634260739581805	344.0	110.0
4.0	0.0	7.834799999989627	344.0	110.0
4.0	3.0	8.331233649598289	344.0	110.0
4.0	6.0	9.806799999983923	344.0	110.0
4.0	9.0	11.99149397842848	344.0	110.0
4.0	12.0	14.22579999995287	344.0	110.0
4.0	15.0	15.750120783133752	344.0	110.0
4.0	18.0	16.837800000012066	344.0	110.0
4.0	21.0	17.935762826240534	344.0	110.0
4.0	24.0	18.93900000004942	344.0	110.0
4.0	27.0	19.601767731350265	344.0	110.0
4.0	30.0	20.111699999994016	344.0	110.0
4.0	33.0	20.731419840038143	344.0	110.0
4.0	36.0	21.426100000004226	344.0	110.0
4.0	39.0	22.017040854185325	344.0	110.0
4.0	42.0	22.58470000001762	344.0	110.0
4.0	45.0	23.225043411337538	344.0	110.0
4.0	48.0	23.92789999998422	344.0	110.0
4.0	51.0	24.744362206271035	344.0	110.0
4.0	54.0	25.617199999996956	344.0	110.0
4.0	57.0	26.668415043186542	344.0	110.0
4.0	60.0	27.923800000000483	344.0	110.0
6.0	0.0	7.106847899052809	344.0	110.0
6.0	3.0	7.778092431068217	344.0	110.0
6.0	6.0	9.428466714860406	344.0	110.0
6.0	9.0	11.783253600940952	344.0	110.0
6.0	12.0	14.12202848232846	344.0	110.0
6.0	15.0	15.807897360344214	344.0	110.0
6.0	18.0	17.046943289871706	344.0	110.0
6.0	21.0	18.30194873900473	344.0	110.0
6.0	24.0	19.442238330353575	344.0	110.0
6.0	27.0	20.189368075298262	344.0	110.0
6.0	30.0	20.747023124833504	344.0	110.0
6.0	33.0	21.378865908944135	344.0	110.0
6.0	36.0	22.06552168899725	344.0	110.0
6.0	39.0	22.686390971197397	344.0	110.0
6.0	42.0	23.265613652183674	344.0	110.0
6.0	45.0	23.85841877585699	344.0	110.0
6.0	48.0	24.483497376801097	344.0	110.0
6.0	51.0	25.14060769340722	344.0	110.0
6.0	54.0	25.817829648647603	344.0	110.0
6.0	57.0	26.597484343241376	344.0	110.0
6.0	60.0	27.633961384064605	344.0	110.0
8.0	0.0	6.442800000022544	344.0	110.0
8.0	3.0	7.104673956029728	344.0	110.0
8.0	6.0	8.754000000000815	344.0	110.0
8.0	9.0	11.273630416391825	344.0	110.0
8.0	12.0	13.789600000014616	344.0	110.0
8.0	15.0	15.646139457268873	344.0	110.0
8.0	18.0	17.018099999990227	344.0	110.0
8.0	21.0	18.42851159373822	344.0	110.0
8.0	24.0	19.71440000003713	344.0	110.0
8.0	27.0	20.574312911765446	344.0	110.0
8.0	30.0	21.21940000001996	344.0	110.0
8.0	33.0	21.89609018513147	344.0	110.0
8.0	36.0	22.60800000001109	344.0	110.0
8.0	39.0	23.307286581246444	344.0	110.0
8.0	42.0	23.96580000002359	344.0	110.0
8.0	45.0	24.585975598292862	344.0	110.0
8.0	48.0	25.215899999951944	344.0	110.0
8.0	51.0	25.807356915021956	344.0	110.0
8.0	54.0	26.375499999998283	344.0	110.0
8.0	57.0	26.941593598152394	344.0	110.0
